category	source_file	line	code_span
historical-closed-doc	docs/issues/closed/1505-optimize-peer-ip-list-from-swarm/pre-implementation-analysis.md	56	packages/tracker-client/src/http/client/responses/announce.rs
historical-closed-doc	docs/issues/closed/1505-optimize-peer-ip-list-from-swarm/pre-implementation-analysis.md	57	packages/axum-http-server/tests/server/responses/announce.rs
historical-closed-doc	docs/issues/closed/1505-optimize-peer-ip-list-from-swarm/pre-implementation-analysis.md	124	packages/http-protocol/src/v1/responses/announce.rs
historical-closed-doc	docs/issues/closed/1507-review-localhost-peer-ip.md	79	packages/axum-http-server/tests/server/v1/contract.rs
historical-closed-doc	docs/issues/closed/1525-overhaul-persistence.md	108	docs/issues/1703-1525-01-persistence-test-coverage.md
historical-closed-doc	docs/issues/closed/1525-overhaul-persistence.md	114	docs/issues/1706-1525-02-qbittorrent-e2e.md
historical-closed-doc	docs/issues/closed/1525-overhaul-persistence.md	120	docs/issues/1525-03-persistence-benchmarking.md
historical-closed-doc	docs/issues/closed/1525-overhaul-persistence.md	125	docs/issues/1713-1525-04-split-persistence-traits.md
historical-closed-doc	docs/issues/closed/1525-overhaul-persistence.md	130	docs/issues/1715-1525-04b-migrate-consumers-to-narrow-traits.md
historical-closed-doc	docs/issues/closed/1525-overhaul-persistence.md	136	docs/issues/1525-05-migrate-sqlite-and-mysql-to-sqlx.md
historical-closed-doc	docs/issues/closed/1525-overhaul-persistence.md	141	docs/issues/1719-1525-06-introduce-schema-migrations.md
historical-closed-doc	docs/issues/closed/1525-overhaul-persistence.md	146	docs/issues/1721-1525-07-align-rust-and-db-types.md
historical-closed-doc	docs/issues/closed/1525-overhaul-persistence.md	152	docs/issues/1723-1525-08-add-postgresql-driver.md
historical-closed-doc	docs/issues/closed/1532-http-tracker-client-add-optional-announce-params.md	153	packages/tracker-client/src/http/client/requests/announce.rs
historical-closed-doc	docs/issues/closed/1532-http-tracker-client-add-optional-announce-params.md	289	packages/tracker-client/src/http/client/requests/announce.rs
historical-closed-doc	docs/issues/closed/1533-udp-tracker-client-add-optional-announce-params.md	279	packages/peer-id/src/peer_id.rs
historical-closed-doc	docs/issues/closed/1564-tracker-client-change-default-peer-id.md	68	packages/tracker-client/src/http/client/requests/announce.rs
historical-closed-doc	docs/issues/closed/1564-tracker-client-change-default-peer-id.md	71	packages/http-protocol/src/v1/responses/announce.rs
historical-closed-doc	docs/issues/closed/1564-tracker-client-change-default-peer-id.md	134	packages/tracker-client/src/http/client/requests/announce.rs
historical-closed-doc	docs/issues/closed/1564-tracker-client-change-default-peer-id.md	151	packages/http-protocol/src/v1/responses/announce.rs
brace-placeholder	docs/issues/closed/1564-tracker-client-change-default-peer-id.md	195	packages/http-protocol/src/v1/{requests/announce.rs,responses/announce.rs,query.rs}
historical-closed-doc	docs/issues/closed/1564-tracker-client-change-default-peer-id.md	220	docs/issues/open/1564-tracker-client-change-default-peer-id.md
historical-closed-doc	docs/issues/closed/1582-add-prometheus-deserialization-metrics/ISSUE.md	46	packages/metrics/src/prometheus.rs
historical-closed-doc	docs/issues/closed/1582-add-prometheus-deserialization-metrics/ISSUE.md	66	packages/metrics/src/prometheus.rs
historical-closed-doc	docs/issues/closed/1582-add-prometheus-deserialization-metrics/ISSUE.md	82	packages/metrics/src/prometheus.rs
historical-closed-doc	docs/issues/closed/1582-add-prometheus-deserialization-metrics/ISSUE.md	101	packages/metrics/src/prometheus.rs
historical-closed-doc	docs/issues/closed/1582-add-prometheus-deserialization-metrics/ISSUE.md	141	packages/metrics/src/label/set.rs
historical-closed-doc	docs/issues/closed/1582-add-prometheus-deserialization-metrics/ISSUE.md	142	packages/metrics/src/label/set/from_openmetrics.rs
historical-closed-doc	docs/issues/closed/1582-add-prometheus-deserialization-metrics/ISSUE.md	184	packages/metrics/src/prometheus.rs
historical-closed-doc	docs/issues/closed/1582-add-prometheus-deserialization-metrics/ISSUE.md	185	packages/metrics/src/metric_collection/mod.rs
historical-closed-doc	docs/issues/closed/1582-add-prometheus-deserialization-metrics/ISSUE.md	186	packages/metrics/src/label/set.rs
historical-closed-doc	docs/issues/closed/1582-add-prometheus-deserialization-metrics/ISSUE.md	187	packages/metrics/Cargo.toml
historical-closed-doc	docs/issues/closed/1582-add-prometheus-deserialization-metrics/ISSUE.md	191	packages/metrics/Cargo.toml
historical-closed-doc	docs/issues/closed/1582-add-prometheus-deserialization-metrics/ISSUE.md	197	packages/metrics/src/prometheus.rs
historical-closed-doc	docs/issues/closed/1582-add-prometheus-deserialization-metrics/ISSUE.md	205	packages/metrics/src/label/set.rs
historical-closed-doc	docs/issues/closed/1582-add-prometheus-deserialization-metrics/ISSUE.md	213	packages/metrics/src/metric_collection/mod.rs
